,year,price,transmission,mileage,tax,mpg,engineSize
0,2017,12500,0,15735,150.0,55.4,1.4
1,2016,16500,1,36203,20.0,64.2,2.0
2,2016,11000,0,29946,30.0,55.4,1.4
3,2017,16800,1,25952,145.0,67.3,2.0
4,2019,17300,0,1998,145.0,49.6,1.0
5,2016,13900,1,32260,30.0,58.9,1.4
6,2016,13250,1,76788,30.0,61.4,2.0
7,2016,11750,0,75185,20.0,70.6,2.0
8,2015,10200,0,46112,20.0,60.1,1.4
9,2016,12000,0,22451,30.0,55.4,1.4
10,2017,16100,0,28955,145.0,58.9,1.4
11,2016,16500,1,52198,125.0,57.6,2.0
12,2016,17000,0,44915,145.0,52.3,2.0
13,2017,16400,0,21695,30.0,58.9,1.4
14,2015,15400,0,47348,30.0,61.4,2.0
15,2017,14500,1,26156,145.0,58.9,1.4
16,2016,15700,1,28396,145.0,53.3,2.0
17,2014,13900,1,30516,30.0,56.5,1.4
18,2016,19000,1,37652,200.0,47.1,2.0
19,2014,17000,0,34110,145.0,47.9,1.4
20,2017,17300,1,37100,145.0,67.3,2.0
21,2016,20200,1,23714,200.0,47.1,2.0
22,2017,22500,1,21649,145.0,58.9,3.0
23,2015,17500,1,62748,150.0,53.3,3.0
24,2016,20000,1,23789,200.0,47.1,2.0
25,2017,18500,1,17418,145.0,62.8,2.0
26,2017,19500,1,33300,145.0,61.4,2.0
27,2018,15800,0,10793,145.0,56.5,1.4
28,2018,17200,1,25138,145.0,70.6,2.0
29,2015,14000,0,61176,30.0,62.8,2.0
30,2015,9500,1,54754,0.0,76.3,1.6
31,2017,16500,0,21369,125.0,51.4,1.4
32,2014,15000,1,39190,205.0,47.9,2.0
33,2017,16000,1,47482,150.0,47.9,1.4
34,2016,16900,1,40501,150.0,51.4,2.0
35,2014,12300,1,43195,200.0,47.9,2.0
36,2017,10800,0,31447,145.0,67.3,1.0
37,2016,19400,1,34030,125.0,58.9,2.0
38,2017,16000,0,29063,145.0,70.6,2.0
39,2017,17100,0,29545,145.0,65.7,2.0
40,2015,11300,0,75619,20.0,68.9,2.0
41,2016,17200,1,39603,160.0,50.4,2.0
42,2017,20300,1,42908,145.0,51.4,2.0
43,2014,13200,1,83872,125.0,58.9,2.0
44,2016,15200,1,58750,145.0,47.9,1.4
45,2019,15700,0,2029,145.0,49.6,1.0
46,2018,16600,1,22958,145.0,50.4,1.8
47,2017,14400,1,32097,145.0,72.4,2.0
48,2017,20200,1,13057,145.0,53.3,2.0
49,2017,23700,1,20278,145.0,38.7,3.0
50,2016,12750,0,52561,0.0,74.3,2.0
51,2015,13000,1,31604,20.0,67.3,2.0
52,2016,15900,0,32011,145.0,49.6,1.4
53,2016,15000,0,39134,30.0,60.1,2.0
54,2015,14700,1,89483,205.0,47.1,2.0
55,2015,15000,1,56291,200.0,42.8,1.8
56,2016,16000,1,47767,20.0,61.4,2.0
57,2014,11000,0,34315,125.0,53.3,1.4
58,2016,10200,0,66369,0.0,83.1,1.6
59,2016,18500,0,34110,30.0,61.4,2.0
60,2013,7000,0,76269,0.0,74.3,1.6
61,2016,10600,0,37840,20.0,70.6,1.6
62,2017,16000,0,26249,30.0,67.3,1.6
63,2017,15000,0,44898,125.0,57.7,2.0
64,2017,14000,0,67161,150.0,51.4,1.4
65,2018,18950,0,17992,150.0,54.3,1.5
66,2016,10200,0,97440,20.0,70.6,2.0
67,2017,11700,0,19268,150.0,67.3,1.0
68,2013,11500,1,51441,125.0,50.4,1.8
69,2016,10800,0,18181,0.0,67.3,1.0
70,2016,12500,0,19494,30.0,67.3,2.0
71,2016,16600,0,32808,30.0,61.4,2.0
72,2017,13100,0,25965,145.0,65.7,2.0
73,2016,8300,0,88215,20.0,68.9,2.0
74,2019,16000,0,5704,145.0,49.6,1.0
75,2017,16900,0,10959,145.0,51.4,1.4
76,2016,19600,1,30201,200.0,47.1,2.0
77,2017,21800,1,19319,145.0,40.4,2.0
78,2017,16200,0,22582,145.0,61.4,2.0
79,2017,18700,0,20052,145.0,49.6,2.0
80,2016,16100,0,16666,30.0,60.1,2.0
81,2016,11300,0,25626,0.0,74.3,1.6
82,2016,14100,0,10460,20.0,60.1,1.4
83,2016,16600,1,43307,125.0,57.6,2.0
84,2017,11300,0,29327,30.0,55.4,1.4
85,2017,15600,0,36714,125.0,51.4,1.4
86,2014,10000,0,28324,125.0,53.3,1.4
87,2016,14500,0,12100,30.0,56.5,1.4
88,2017,16100,0,18001,145.0,62.8,2.0
89,2016,10600,0,28760,30.0,55.4,1.4
90,2019,25499,1,4000,145.0,44.1,1.5
91,2019,25499,1,7897,145.0,47.9,2.0
92,2016,15500,1,24744,125.0,56.5,3.0
93,2015,16200,1,30075,160.0,51.4,2.0
94,2017,14000,0,12577,30.0,58.9,1.4
95,2016,17300,1,24421,30.0,61.4,2.0
96,2016,10600,0,15567,0.0,76.3,1.6
97,2018,17500,0,15207,145.0,51.4,1.4
98,2017,15000,0,14864,145.0,52.3,1.4
